time,ros_time,fsm_state,solve_controller,is_landed,is_armed,takeoff_land_trigger,is_waiting_for_cmd,use_preview,ref_x,ref_y,ref_z,ref_u,ref_v,ref_w,ref_ax,ref_ay,ref_az,ref_phi,ref_theta,ref_psi,x,y,z,u,v,w,ax,ay,az,phi,theta,psi,throttle,battery_voltage,accel_disturbance_x,accel_disturbance_y,accel_disturbance_z
0,1.72192e+09,0,0,1,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0070707,-0.0133973,0.131321,0.000809476,0.00213978,-0.00195838,0.147238,0.547557,9.79195,0.0457366,-0.0970933,-0.0457559,0,16.647,0,0,0
0.0100164,1.72192e+09,0,0,1,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00708228,-0.01341,0.131228,0.000727359,0.00218263,-0.00211154,0.0911564,0.556439,9.74334,0.0460421,-0.0969352,-0.0457593,0,16.647,0,0,0
0.0199859,1.72192e+09,0,0,1,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00710785,-0.0134288,0.131221,0.000649009,0.0024387,-0.00213757,0.0911564,0.556439,9.74334,0.0460761,-0.0969129,-0.045898,0,16.647,0,0,0
0.0299794,1.72192e+09,0,0,1,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00710394,-0.0134156,0.131203,0.000606276,0.00246998,-0.00215512,0.127938,0.544934,9.79578,0.0461927,-0.0970799,-0.0457859,0,16.647,0,0,0
0.0399885,1.72192e+09,0,0,1,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0070975,-0.0134203,0.131244,0.000524338,0.0023075,-0.00221651,0.127938,0.544934,9.79578,0.0459359,-0.0970007,-0.0457932,0,16.647,0,0,0
0.0500437,1.72192e+09,0,0,1,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00707144,-0.0133702,0.131295,0.000480177,0.00208023,-0.0023172,0.115553,0.534206,9.76208,0.0461392,-0.0973763,-0.0457847,0,16.647,0,0,0
0.0599564,1.72192e+09,0,0,1,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00708091,-0.0133852,0.131313,0.000591446,0.00189228,-0.00235403,0.115553,0.534206,9.76208,0.0458004,-0.0972906,-0.0458519,0,16.647,0,0,0
0.0700259,1.72192e+09,0,0,1,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00710455,-0.0134102,0.131236,0.000577777,0.00179268,-0.00219368,0.140115,0.51912,9.77481,0.0459442,-0.097035,-0.0457763,0,16.647,0,0,0
0.0799378,1.72192e+09,0,0,1,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00708333,-0.0133659,0.131274,0.000577777,0.00179268,-0.00219368,0.140115,0.51912,9.77481,0.0456923,-0.0971291,-0.0457882,0,16.647,0,0,0
0.0899926,1.72192e+09,0,0,1,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00709792,-0.0133813,0.131246,0.000483922,0.00202198,-0.00194473,0.115482,0.578806,9.79622,0.0457795,-0.0970809,-0.0458454,0,16.648,0,0,0
0.100047,1.72192e+09,0,0,1,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00708274,-0.0134125,0.131258,0.000303762,0.00119974,-0.00132609,0.115482,0.578806,9.79622,0.0458413,-0.0970542,-0.0457529,0,16.647,0,0,0
0.10995,1.72192e+09,0,0,1,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00710232,-0.0134059,0.131248,0.000303762,0.00119974,-0.00132609,0.115008,0.515603,9.79861,0.0459482,-0.0969979,-0.045812,0,16.647,0,0,0
0.119954,1.72192e+09,0,0,1,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00706876,-0.0134195,0.131219,0.000197357,0.000773066,-0.0014309,0.115008,0.515603,9.79861,0.0459378,-0.0969032,-0.0457667,0,16.647,0,0,0
0.12996,1.72192e+09,0,0,1,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00706438,-0.0133992,0.131282,0.000154035,0.00080301,-0.000909124,0.157805,0.639336,9.82334,0.045912,-0.0971846,-0.0457703,0,16.647,0,0,0
0.139935,1.72192e+09,0,0,1,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00708072,-0.0134073,0.131291,0.000154035,0.00080301,-0.000909124,0.157805,0.639336,9.82334,0.0458297,-0.0972981,-0.0457842,0,16.648,0,0,0
0.149999,1.72192e+09,0,0,1,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00705835,-0.0133674,0.131291,-6.25519e-05,0.0012081,-0.00102602,0.154921,0.527723,9.86921,0.045963,-0.0972167,-0.0457985,0,16.647,0,0,0
0.159964,1.72192e+09,0,0,1,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00708599,-0.0133976,0.131303,-6.25519e-05,0.0012081,-0.00102602,0.154921,0.527723,9.86921,0.045969,-0.0974088,-0.0458669,0,16.648,0,0,0
0.170007,1.72192e+09,0,0,1,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00709832,-0.0134367,0.131225,9.40209e-05,0.00150577,-0.000955516,0.147139,0.620386,9.77633,0.0462052,-0.0970738,-0.0458648,0,16.647,0,0,0
0.179984,1.72192e+09,0,0,1,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007046,-0.0134158,0.1313,6.05126e-06,0.00183941,-0.00103743,0.147139,0.620386,9.77633,0.0463538,-0.0975183,-0.0458496,0,16.647,0,0,0
