time,ros_time,fsm_state,solve_controller,is_landed,is_armed,takeoff_land_trigger,is_waiting_for_cmd,use_preview,ref_x,ref_y,ref_z,ref_u,ref_v,ref_w,ref_ax,ref_ay,ref_az,ref_phi,ref_theta,ref_psi,x,y,z,u,v,w,ax,ay,az,phi,theta,psi,throttle,battery_voltage,accel_disturbance_x,accel_disturbance_y,accel_disturbance_z
0,1.72218e+09,0,0,1,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00952481,-0.00278486,0.13565,0.0025121,0.00251577,-0.00240301,-0.805818,0.523917,9.7711,0.0368005,-0.00308872,0.027528,0,0,0,0,0
0.00140019,1.72218e+09,0,0,1,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00952481,-0.00278486,0.13565,0.0025121,0.00251577,-0.00240301,-0.805818,0.523917,9.7711,0.0368005,-0.00308872,0.027528,0,0,0,0,0
0.0115605,1.72218e+09,0,0,1,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00941477,-0.00252818,0.135667,0.0028144,0.00242865,-0.00235397,-0.773389,0.498691,9.77466,0.0363301,-0.00328069,0.0272709,0,0,0,0,0
0.0215587,1.72218e+09,0,0,1,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00940469,-0.0027544,0.135738,0.00286341,0.00248778,-0.002307,-0.773389,0.498691,9.77466,0.0369045,-0.00288963,0.0282276,0,0,0,0,0
0.0316041,1.72218e+09,0,0,1,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00945022,-0.00290445,0.135749,0.00296616,0.00209601,-0.00198491,-0.808589,0.494263,9.78886,0.0375003,-0.00262862,0.028153,0,0,0,0,0
0.041572,1.72218e+09,0,0,1,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094325,-0.00253932,0.135712,0.00311687,0.00192226,-0.00183365,-0.808589,0.494263,9.78886,0.0365887,-0.00316878,0.0272646,0,0,0,0,0
0.0516077,1.72218e+09,0,0,1,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00944933,-0.00252869,0.135714,0.00314824,0.00216628,-0.00164197,-0.798418,0.570796,9.74915,0.0364655,-0.00317767,0.027229,0,0,0,0,0
0.0615418,1.72218e+09,0,0,1,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0095033,-0.00265889,0.135726,0.00314824,0.00216628,-0.00164197,-0.798418,0.570796,9.74915,0.0364689,-0.00304048,0.0275268,0,0,0,0,0
0.0715822,1.72218e+09,0,0,1,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00937978,-0.00248661,0.13571,0.00312822,0.00232569,-0.00179916,-0.78116,0.497376,9.74572,0.0360388,-0.00320335,0.0274099,0,0,0,0,0
0.0815734,1.72218e+09,0,0,1,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00947859,-0.00283813,0.135709,0.00326061,0.0021702,-0.0018428,-0.78116,0.497376,9.74572,0.0371763,-0.00281191,0.028174,0,0,0,0,0
