time,ros_time,fsm_state,solve_controller,is_landed,is_armed,takeoff_land_trigger,is_waiting_for_cmd,use_preview,ref_x,ref_y,ref_z,ref_u,ref_v,ref_w,ref_ax,ref_ay,ref_az,ref_phi,ref_theta,ref_psi,x,y,z,u,v,w,ax,ay,az,phi,theta,psi,throttle,battery_voltage,accel_disturbance_x,accel_disturbance_y,accel_disturbance_z
0,1.72235e+09,0,0,1,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127658,0.000982963,0.136946,0.00122917,0.00193047,0.00224253,-0.102099,0.0208342,9.7972,-0.0141491,-0.0519416,-0.0204108,0,0,0,0,0
0.000869659,1.72235e+09,0,0,1,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127658,0.000982963,0.136946,0.00122917,0.00193047,0.00224253,-0.102099,0.0208342,9.7972,-0.0141491,-0.0519416,-0.0204108,0,0,0,0,0
0.0110224,1.72235e+09,0,0,1,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129587,0.00107502,0.136655,0.00128546,0.00223638,0.00210339,-0.132555,0.0387173,9.78543,-0.012589,-0.0511466,-0.0199138,0,0,0,0,0
0.0210185,1.72235e+09,0,0,1,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128669,0.000925526,0.136907,0.00139699,0.00205362,0.0019429,-0.132555,0.0387173,9.78543,-0.0141383,-0.0521578,-0.0204472,0,0,0,0,0
0.0310602,1.72235e+09,0,0,1,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129225,0.00103956,0.136788,0.00155086,0.00213606,0.00206673,-0.137326,0.0441008,9.8053,-0.0141712,-0.0524097,-0.0205949,0,0,0,0,0
0.0410066,1.72235e+09,0,0,1,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128923,0.00102869,0.136818,0.00155086,0.00213606,0.00206673,-0.137326,0.0441008,9.8053,-0.0126013,-0.050583,-0.0199452,0,0,0,0,0
0.0510393,1.72235e+09,0,0,1,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128352,0.000935382,0.136999,0.00157452,0.00225403,0.00219744,-0.155469,0.0391644,9.78693,-0.0146168,-0.0516325,-0.0201783,0,0,0,0,0
0.061013,1.72235e+09,0,0,1,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128148,0.000935838,0.136925,0.00158301,0.00247985,0.00209139,-0.155469,0.0391644,9.78693,-0.0143684,-0.0519823,-0.0203083,0,0,0,0,0
0.0710524,1.72235e+09,0,0,1,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127956,0.000992836,0.136903,0.00132192,0.00275761,0.00221543,-0.161198,0.0239933,9.8365,-0.0142472,-0.0522494,-0.0204813,0,0,0,0,0
0.0810259,1.72235e+09,0,0,1,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127985,0.000997042,0.136899,0.00132441,0.00292367,0.00226154,-0.161198,0.0239933,9.8365,-0.0144398,-0.052098,-0.0204183,0,0,0,0,0
