time,ros_time,fsm_state,solve_controller,is_landed,is_armed,takeoff_land_trigger,is_waiting_for_cmd,use_preview,ref_x,ref_y,ref_z,ref_u,ref_v,ref_w,ref_ax,ref_ay,ref_az,ref_phi,ref_theta,ref_psi,x,y,z,u,v,w,ax,ay,az,phi,theta,psi,throttle,battery_voltage,accel_disturbance_x,accel_disturbance_y,accel_disturbance_z
0,1.72235e+09,0,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189062,0.00956593,0.135838,-0.00324489,-0.0011263,0.00019958,-0.241531,0.124284,9.79527,-0.0106901,-0.0640317,0.0638032,0,0,0,0,0
0.000912531,1.72235e+09,0,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189062,0.00956593,0.135838,-0.00324489,-0.0011263,0.00019958,-0.241531,0.124284,9.79527,-0.0106901,-0.0640317,0.0638032,0,0,0,0,0
0.0110807,1.72235e+09,0,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189673,0.00952549,0.135839,-0.00324489,-0.0011263,0.00019958,-0.266408,0.132445,9.81369,-0.0104111,-0.0636424,0.0638735,0,0,0,0,0
0.0210831,1.72235e+09,0,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190059,0.00952208,0.13579,-0.00348821,-0.00101444,0.000303342,-0.266408,0.132445,9.81369,-0.0105863,-0.0633546,0.0639578,0,0,0,0,0
0.031082,1.72235e+09,0,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189234,0.00954863,0.135875,-0.00337882,-0.00116621,0.000849129,-0.266408,0.132445,9.81369,-0.01038,-0.063889,0.064051,0,0,0,0,0
0.0411235,1.72235e+09,0,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189052,0.00962643,0.135865,-0.00341558,-0.000912066,0.00064322,-0.247724,0.156404,9.77072,-0.0107457,-0.0640113,0.0639636,0,0,0,0,0
0.051109,1.72235e+09,0,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188567,0.00962819,0.135915,-0.00343567,-0.000832975,0.00101581,-0.250642,0.113565,9.84991,-0.0105715,-0.0640784,0.0640635,0,0,0,0,0
0.0610916,1.72235e+09,0,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188399,0.00956275,0.135902,-0.00336182,-0.00103495,0.00102118,-0.250642,0.113565,9.84991,-0.0104779,-0.0641186,0.0641875,0,0,0,0,0
0.0710954,1.72235e+09,0,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188369,0.00957334,0.135933,-0.00305991,-0.0011373,0.00105949,-0.205293,0.124638,9.82939,-0.0105239,-0.0637994,0.06407,0,0,0,0,0
0.08107,1.72235e+09,0,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188776,0.00951252,0.135867,-0.0031699,-0.00110632,0.00138878,-0.205293,0.124638,9.82939,-0.0104056,-0.063483,0.0641293,0,0,0,0,0
