time,ros_time,fsm_state,solve_controller,is_landed,is_armed,takeoff_land_trigger,is_waiting_for_cmd,use_preview,ref_x,ref_y,ref_z,ref_u,ref_v,ref_w,ref_ax,ref_ay,ref_az,ref_phi,ref_theta,ref_psi,x,y,z,u,v,w,ax,ay,az,phi,theta,psi,throttle,battery_voltage,accel_disturbance_x,accel_disturbance_y,accel_disturbance_z
0,1.72235e+09,0,0,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220138,-0.00112423,0.133048,-0.00397024,-0.00108846,-0.00269701,-0.0504562,0.248422,9.796,0.0100499,-0.0717433,0.02703,0,0,0,0,0
0.000877365,1.72235e+09,0,0,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218497,-0.00119877,0.132831,-0.00397024,-0.00108846,-0.00269701,-0.0493405,0.252591,9.80442,0.0107607,-0.0717482,0.0270781,0,0,0,0,0
0.0109803,1.72235e+09,0,0,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216135,-0.000987771,0.132564,-0.00378245,-0.00133336,-0.00259255,-0.0493405,0.252591,9.80442,0.00982019,-0.0723585,0.0271107,0,0,0,0,0
0.0209087,1.72235e+09,0,0,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216507,-0.00111635,0.132537,-0.00378245,-0.00133336,-0.00259255,-0.0493405,0.252591,9.80442,0.0103372,-0.0723213,0.0271805,0,0,0,0,0
0.0310013,1.72235e+09,0,0,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220747,-0.0012342,0.133047,-0.0035404,-0.0014351,-0.0027904,-0.0328704,0.279025,9.75508,0.0105753,-0.0715861,0.0271552,0,0,0,0,0
0.0409747,1.72235e+09,0,0,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218312,-0.00109214,0.132844,-0.00376779,-0.0013288,-0.00290449,-0.0328704,0.279025,9.75508,0.0102937,-0.0717799,0.0271177,0,0,0,0,0
0.0509772,1.72235e+09,0,0,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220849,-0.00132254,0.133058,-0.00336439,-0.00140101,-0.00303826,-0.0110824,0.268133,9.77397,0.010619,-0.0715552,0.0271285,0,0,0,0,0
0.0609699,1.72235e+09,0,0,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02203,-0.001202,0.133083,-0.00374479,-0.00132648,-0.00260198,-0.0110824,0.268133,9.77397,0.0101805,-0.0716627,0.0271777,0,0,0,0,0
0.0709746,1.72235e+09,0,0,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218991,-0.00125618,0.132838,-0.00359927,-0.00109921,-0.00269945,-0.0314626,0.313444,9.85515,0.0109219,-0.071663,0.0271294,0,0,0,0,0
0.0809838,1.72235e+09,0,0,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221066,-0.00130067,0.133001,-0.00357728,-0.00103361,-0.00283889,-0.0167776,0.289463,9.77435,0.0106292,-0.0715731,0.0271874,0,0,0,0,0
0.0909159,1.72235e+09,0,0,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220292,-0.00116454,0.132994,-0.00357728,-0.00103361,-0.00283889,-0.0167776,0.289463,9.77435,0.0100571,-0.0717483,0.0271806,0,0,0,0,0
