time,ros_time,fsm_state,solve_controller,is_landed,is_armed,takeoff_land_trigger,is_waiting_for_cmd,use_preview,ref_x,ref_y,ref_z,ref_u,ref_v,ref_w,ref_ax,ref_ay,ref_az,ref_phi,ref_theta,ref_psi,x,y,z,u,v,w,ax,ay,az,phi,theta,psi,throttle,battery_voltage,accel_disturbance_x,accel_disturbance_y,accel_disturbance_z
0,1.72243e+09,0,0,1,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278645,0.00776533,0.141212,0.00686246,0.00179345,0.000205155,-0.650069,-0.236084,9.82074,-0.0524379,-0.0103987,0.00477221,0,0,0,0,0
0.00057744,1.72243e+09,0,0,1,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278645,0.00776533,0.141212,0.00686246,0.00179345,0.000205155,-0.650069,-0.236084,9.82074,-0.0524379,-0.0103987,0.00477221,0,0,0,0,0
0.010735,1.72243e+09,0,0,1,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278025,0.00776844,0.141193,0.00686099,0.00193691,0.000597314,-0.650069,-0.236084,9.82074,-0.052472,-0.0105582,0.00486341,0,0,0,0,0
0.0207207,1.72243e+09,0,0,1,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277415,0.00780732,0.141192,0.00689868,0.00206906,0.000491589,-0.650069,-0.236084,9.82074,-0.0526149,-0.0104065,0.0048436,0,0,0,0,0
0.0307308,1.72243e+09,0,0,1,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277556,0.00775663,0.141263,0.00694632,0.00204534,0.000592883,-0.655367,-0.264297,9.78029,-0.052491,-0.0103441,0.00503942,0,0,0,0,0
0.0407481,1.72243e+09,0,0,1,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277962,0.00783153,0.141239,0.00694363,0.00220153,0.000894136,-0.636329,-0.254834,9.81444,-0.052418,-0.0104077,0.0047656,0,0,0,0,0
0.0507304,1.72243e+09,0,0,1,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277093,0.00772552,0.141182,0.00681898,0.00209375,0.00114226,-0.636329,-0.254834,9.81444,-0.0525078,-0.0103916,0.00507248,0,0,0,0,0
0.0607253,1.72243e+09,0,0,1,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278004,0.00779314,0.141256,0.00682244,0.00216455,0.00112135,-0.636329,-0.254834,9.81444,-0.0523024,-0.0104154,0.00476729,0,0,0,0,0
0.0707411,1.72243e+09,0,0,1,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278229,0.00780268,0.141176,0.00682244,0.00216455,0.00112135,-0.639121,-0.253204,9.7774,-0.0525393,-0.0103406,0.00517191,0,0,0,0,0
0.0807695,1.72243e+09,0,0,1,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277895,0.0077441,0.141239,0.00702667,0.00200195,0.000557092,-0.619504,-0.237078,9.79565,-0.0524639,-0.010378,0.00473248,0,0,0,0,0
