time,ros_time,fsm_state,solve_controller,is_landed,is_armed,takeoff_land_trigger,is_waiting_for_cmd,use_preview,ref_x,ref_y,ref_z,ref_u,ref_v,ref_w,ref_ax,ref_ay,ref_az,ref_phi,ref_theta,ref_psi,x,y,z,u,v,w,ax,ay,az,phi,theta,psi,throttle,battery_voltage,accel_disturbance_x,accel_disturbance_y,accel_disturbance_z
0,1.72244e+09,0,0,1,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216857,0.0116187,0.139862,0.01681,0.00555986,-0.000609325,-0.186514,-0.150194,9.79022,-0.0317052,-0.050375,0.00882657,0,0,0,0,0
0.000627239,1.72244e+09,0,0,1,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216857,0.0116187,0.139862,0.01681,0.00555986,-0.000609325,-0.186514,-0.150194,9.79022,-0.0317052,-0.050375,0.00882657,0,0,0,0,0
0.0108252,1.72244e+09,0,0,1,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216128,0.0116725,0.139872,0.0170992,0.00568374,-0.000778787,-0.197931,-0.144686,9.79438,-0.0317464,-0.0501953,0.00876014,0,0,0,0,0
0.0207669,1.72244e+09,0,0,1,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216078,0.0116729,0.139867,0.0171144,0.0056078,-0.00111444,-0.197931,-0.144686,9.79438,-0.0318478,-0.0502493,0.00879974,0,0,0,0,0
0.0308083,1.72244e+09,0,0,1,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216145,0.0116729,0.139883,0.0171173,0.00590113,-0.000866989,-0.203543,-0.12328,9.80503,-0.0318381,-0.0502343,0.00867112,0,0,0,0,0
0.0407796,1.72244e+09,0,0,1,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216802,0.0115486,0.13978,0.0170597,0.00588202,-0.000657629,-0.203543,-0.12328,9.80503,-0.0314208,-0.0501092,0.00849052,0,0,0,0,0
0.0507704,1.72244e+09,0,0,1,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217096,0.0115385,0.139769,0.0170597,0.00588202,-0.000657629,-0.211836,-0.152816,9.76192,-0.0314177,-0.0500138,0.0084891,0,0,0,0,0
0.0607669,1.72244e+09,0,0,1,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021721,0.0115309,0.139777,0.0168998,0.00583077,-0.000965768,-0.211836,-0.152816,9.76192,-0.0314356,-0.0500344,0.00849811,0,0,0,0,0
0.0708029,1.72244e+09,0,0,1,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217438,0.011638,0.139845,0.0166989,0.00566554,-0.00111041,-0.197811,-0.161824,9.81806,-0.0319109,-0.0501055,0.00862944,0,0,0,0,0
0.0808088,1.72244e+09,0,0,1,134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217562,0.0114994,0.139827,0.016536,0.00546395,-0.000957661,-0.197811,-0.161824,9.81806,-0.0314378,-0.0498469,0.00853846,0,0,0,0,0
0.0907796,1.72244e+09,0,0,1,134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217688,0.0114926,0.139822,0.0164294,0.00552359,-0.00110748,-0.197811,-0.161824,9.81806,-0.0314362,-0.0499518,0.00853623,0,0,0,0,0
0.1008,1.72244e+09,0,0,1,134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217713,0.0115832,0.139855,0.016506,0.00566623,-0.00136654,-0.206286,-0.124083,9.79345,-0.031787,-0.0501848,0.00866122,0,0,0,0,0
0.1108,1.72244e+09,0,0,1,134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217816,0.011581,0.139845,0.0163016,0.0050856,-0.00144668,-0.213688,-0.17956,9.76686,-0.0317741,-0.0499667,0.00869643,0,0,0,0,0
0.120757,1.72244e+09,0,0,1,134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217733,0.011573,0.13984,0.0163016,0.0050856,-0.00144668,-0.213688,-0.17956,9.76686,-0.0319371,-0.0501708,0.0086774,0,0,0,0,0
0.130778,1.72244e+09,0,0,1,134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217816,0.0115073,0.139844,0.0163088,0.00530899,-0.00177404,-0.213688,-0.17956,9.76686,-0.0315817,-0.0499039,0.00852596,0,0,0,0,0
0.140809,1.72244e+09,0,0,1,134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217195,0.0114765,0.13982,0.0165839,0.00481219,-0.0016831,-0.216717,-0.216563,9.83842,-0.0313639,-0.049985,0.00861537,0,0,0,0,0
