time,ros_time,fsm_state,solve_controller,is_landed,is_armed,takeoff_land_trigger,is_waiting_for_cmd,use_preview,ref_x,ref_y,ref_z,ref_u,ref_v,ref_w,ref_ax,ref_ay,ref_az,ref_phi,ref_theta,ref_psi,x,y,z,u,v,w,ax,ay,az,phi,theta,psi,throttle,battery_voltage,accel_disturbance_x,accel_disturbance_y,accel_disturbance_z
0,1.72245e+09,0,0,1,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151663,-0.000269819,0.140436,0.00688552,0.00191286,0.0012998,0.559331,-0.114548,9.79677,-0.0290977,-0.121023,0.099835,0,0,0,0,0
0.000630034,1.72245e+09,0,0,1,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151663,-0.000269819,0.140436,0.00688552,0.00191286,0.0012998,0.559331,-0.114548,9.79677,-0.0290977,-0.121023,0.099835,0,0,0,0,0
0.0107852,1.72245e+09,0,0,1,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015165,-0.000304959,0.140512,0.00688473,0.00181999,0.00130273,0.559331,-0.114548,9.79677,-0.0287273,-0.121278,0.0997024,0,0,0,0,0
0.0208074,1.72245e+09,0,0,1,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015154,-0.000303436,0.140508,0.00675292,0.00171133,0.0013343,0.522816,-0.133986,9.78506,-0.0286326,-0.121276,0.099706,0,0,0,0,0
0.0307785,1.72245e+09,0,0,1,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151774,-0.000297938,0.140476,0.00698927,0.00177539,0.00120158,0.547493,-0.114049,9.74371,-0.0288072,-0.121558,0.0995338,0,0,0,0,0
0.0407576,1.72245e+09,0,0,1,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151885,-0.000338327,0.140483,0.00698927,0.00177539,0.00120158,0.547493,-0.114049,9.74371,-0.0287355,-0.121291,0.0996758,0,0,0,0,0
0.0508313,1.72245e+09,0,0,1,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151647,-0.000327044,0.140498,0.00670747,0.00163568,0.00131329,0.550261,-0.133856,9.83799,-0.028623,-0.121327,0.0996763,0,0,0,0,0
0.0607715,1.72245e+09,0,0,1,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152295,-0.000311556,0.140429,0.00686115,0.00157402,0.00158039,0.550261,-0.133856,9.83799,-0.0287611,-0.121403,0.0994848,0,0,0,0,0
0.0707678,1.72245e+09,0,0,1,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151593,-0.000298488,0.140513,0.00693451,0.00144068,0.00163388,0.549249,-0.128851,9.78998,-0.0287647,-0.121322,0.099593,0,0,0,0,0
0.0807571,1.72245e+09,0,0,1,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151671,-0.0002682,0.140494,0.00690897,0.00142987,0.00136036,0.549249,-0.128851,9.78998,-0.0287438,-0.12133,0.0996011,0,0,0,0,0
