time,ros_time,fsm_state,solve_controller,is_landed,is_armed,takeoff_land_trigger,is_waiting_for_cmd,use_preview,ref_x,ref_y,ref_z,ref_u,ref_v,ref_w,ref_ax,ref_ay,ref_az,ref_phi,ref_theta,ref_psi,x,y,z,u,v,w,ax,ay,az,phi,theta,psi,throttle,battery_voltage,accel_disturbance_x,accel_disturbance_y,accel_disturbance_z
0,1.72245e+09,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00468599,-0.00528329,0.139761,0.000630574,-0.00310205,-0.00558324,0.43666,-0.352366,9.79173,-0.0446552,-0.114338,0.110914,0,0,0,0,0
0.000532858,1.72245e+09,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00468599,-0.00528329,0.139761,0.000630574,-0.00310205,-0.00558324,0.43666,-0.352366,9.79173,-0.0446552,-0.114338,0.110914,0,0,0,0,0
0.0107686,1.72245e+09,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046855,-0.00530559,0.139821,0.000809816,-0.0032536,-0.00545216,0.39763,-0.317168,9.79312,-0.0445048,-0.114465,0.110565,0,0,0,0,0
0.0206849,1.72245e+09,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00465663,-0.00530798,0.139825,0.000809816,-0.0032536,-0.00545216,0.39763,-0.317168,9.79312,-0.0445562,-0.114463,0.110662,0,0,0,0,0
0.030724,1.72245e+09,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00460689,-0.00527175,0.139842,0.00098602,-0.00320949,-0.0056372,0.44933,-0.343542,9.77754,-0.0443076,-0.114472,0.11097,0,0,0,0,0
0.0407517,1.72245e+09,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00461519,-0.00524904,0.13983,0.000938428,-0.00309779,-0.00563155,0.421785,-0.329235,9.77191,-0.0444363,-0.114416,0.111002,0,0,0,0,0
0.050677,1.72245e+09,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046614,-0.00525441,0.139788,0.00088406,-0.00298281,-0.0057756,0.421785,-0.329235,9.77191,-0.0445798,-0.114469,0.110871,0,0,0,0,0
0.0606845,1.72245e+09,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00471105,-0.00530316,0.139842,0.00088406,-0.00298281,-0.0057756,0.421785,-0.329235,9.77191,-0.0445517,-0.114394,0.110635,0,0,0,0,0
0.0707113,1.72245e+09,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00469084,-0.00530837,0.139822,0.00110486,-0.00302697,-0.00497756,0.439117,-0.361142,9.78412,-0.044567,-0.11455,0.110586,0,0,0,0,0
0.080728,1.72245e+09,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00463406,-0.00528433,0.139796,0.00110486,-0.00302697,-0.00497756,0.439117,-0.361142,9.78412,-0.044594,-0.114651,0.110908,0,0,0,0,0
0.0907438,1.72245e+09,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00461279,-0.00530023,0.139791,0.000969625,-0.00303615,-0.00467871,0.399982,-0.360192,9.78556,-0.0449054,-0.11447,0.110815,0,0,0,0,0
0.100705,1.72245e+09,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00461114,-0.00526735,0.139861,0.00106503,-0.00284252,-0.00463844,0.399982,-0.360192,9.78556,-0.0444392,-0.114541,0.110996,0,0,0,0,0
0.110717,1.72245e+09,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00463209,-0.00527051,0.13981,0.0011886,-0.00287487,-0.0046978,0.42964,-0.347629,9.78952,-0.0445476,-0.114578,0.111021,0,0,0,0,0
0.120705,1.72245e+09,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00468373,-0.00525649,0.13979,0.00120784,-0.00292387,-0.0048212,0.42964,-0.347629,9.78952,-0.0444342,-0.114678,0.110935,0,0,0,0,0
0.130716,1.72245e+09,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00466697,-0.00526301,0.139849,0.00126845,-0.00306171,-0.00484596,0.428144,-0.331864,9.76933,-0.0444994,-0.114695,0.110994,0,0,0,0,0
0.140693,1.72245e+09,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046919,-0.00528604,0.139845,0.00134048,-0.00314048,-0.00525896,0.428144,-0.331864,9.76933,-0.0446486,-0.114633,0.110658,0,0,0,0,0
4.1108,1.72245e+09,0,0,1,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00470214,-0.00539261,0.13981,0.00249541,-0.00197607,-0.0119639,0.409888,-0.345338,9.72501,-0.0439101,-0.114502,0.110872,0,16.361,0,0,0
4.12067,1.72245e+09,0,0,1,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00470116,-0.00537246,0.139786,0.00249541,-0.00197607,-0.0119639,0.409888,-0.345338,9.72501,-0.0437881,-0.114579,0.110865,0,16.361,0,0,0
4.13075,1.72245e+09,0,0,1,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00466276,-0.00538541,0.139803,0.00263168,-0.00218324,-0.0120725,0.413932,-0.370139,9.77944,-0.0436468,-0.11446,0.110924,0,16.361,0,0,0
4.14073,1.72245e+09,0,0,1,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00469174,-0.0053818,0.139809,0.00270174,-0.00225817,-0.0118156,0.413932,-0.370139,9.77944,-0.0439584,-0.114487,0.110535,0,16.361,0,0,0
9.15922,1.72245e+09,2,0,0,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0111287,-0.00567213,0.148397,0.00237817,0.0110969,0.0134106,1.35421,0.308127,9.51708,-0.056512,-0.205824,0.113357,0.296658,16.187,0,0,0
