time,ros_time,fsm_state,solve_controller,is_landed,is_armed,takeoff_land_trigger,is_waiting_for_cmd,use_preview,ref_x,ref_y,ref_z,ref_u,ref_v,ref_w,ref_ax,ref_ay,ref_az,ref_phi,ref_theta,ref_psi,x,y,z,u,v,w,ax,ay,az,phi,theta,psi,throttle,battery_voltage,accel_disturbance_x,accel_disturbance_y,accel_disturbance_z
0,1.72245e+09,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00516549,0.00645631,0.140247,0.00790697,-0.00581164,-0.00619258,0.332627,-0.302996,9.78357,-0.0472256,-0.0869333,0.0752739,0,0,0,0,0
0.00137589,1.72245e+09,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00516549,0.00645631,0.140247,0.00790697,-0.00581164,-0.00619258,0.332627,-0.302996,9.78357,-0.0472256,-0.0869333,0.0752739,0,0,0,0,0
0.0115267,1.72245e+09,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00516313,0.00644187,0.140315,0.00824962,-0.00595054,-0.00661423,0.332627,-0.302996,9.78357,-0.0473335,-0.0872288,0.0753038,0,0,0,0,0
0.0215418,1.72245e+09,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00518694,0.00645498,0.140354,0.00827809,-0.00619693,-0.00660978,0.310948,-0.305511,9.79057,-0.0469932,-0.0873795,0.0754113,0,0,0,0,0
0.0315118,1.72245e+09,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00521909,0.00646255,0.140278,0.00819405,-0.00610888,-0.00656114,0.310948,-0.305511,9.79057,-0.047407,-0.0872293,0.0753153,0,0,0,0,0
0.0415031,1.72245e+09,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052527,0.00646386,0.140292,0.00819405,-0.00610888,-0.00656114,0.292202,-0.300033,9.79495,-0.0469872,-0.0873819,0.0753009,0,0,0,0,0
0.0515166,1.72245e+09,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00521405,0.00647689,0.140342,0.00803285,-0.00601185,-0.00633058,0.292202,-0.300033,9.79495,-0.0469531,-0.087603,0.0754109,0,0,0,0,0
0.0615435,1.72245e+09,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00520015,0.00646587,0.140245,0.0079795,-0.00615914,-0.00621715,0.29014,-0.311773,9.80995,-0.0474174,-0.0872627,0.0753377,0,0,0,0,0
0.0715099,1.72245e+09,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00519347,0.00655156,0.140257,0.00782435,-0.00604223,-0.00632499,0.29014,-0.311773,9.80995,-0.0469379,-0.0874665,0.074869,0,0,0,0,0
0.08156,1.72245e+09,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522093,0.00647151,0.140321,0.0077308,-0.00599682,-0.00623944,0.313788,-0.310942,9.80256,-0.047014,-0.0873484,0.0753426,0,0,0,0,0
0.0915022,1.72245e+09,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522404,0.00649397,0.140207,0.00815651,-0.0063653,-0.0061197,0.313788,-0.310942,9.80256,-0.0474984,-0.0873835,0.0753104,0,0,0,0,0
0.10154,1.72245e+09,0,0,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052346,0.00648931,0.140294,0.00823584,-0.00643961,-0.00632991,0.288691,-0.323409,9.75931,-0.0471235,-0.0874658,0.0753612,0,0,0,0,0
0.111487,1.72245e+09,0,0,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00521345,0.00647969,0.140325,0.00825816,-0.0065355,-0.00661531,0.288691,-0.323409,9.75931,-0.0472502,-0.0871858,0.0754289,0,0,0,0,0
0.121495,1.72245e+09,0,0,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00517808,0.00653893,0.140364,0.00825816,-0.0065355,-0.00661531,0.299344,-0.321189,9.7585,-0.0472048,-0.0872638,0.0754597,0,0,0,0,0
0.131497,1.72245e+09,0,0,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051558,0.00651795,0.140347,0.00828746,-0.00666373,-0.00710485,0.299344,-0.321189,9.7585,-0.0472784,-0.0872946,0.0753,0,0,0,0,0
0.141507,1.72245e+09,0,0,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00520887,0.00654041,0.140304,0.00854699,-0.00701888,-0.0072538,0.331289,-0.34333,9.76346,-0.0473482,-0.0872158,0.0752386,0,0,0,0,0
0.151514,1.72245e+09,0,0,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00521738,0.00649878,0.14029,0.00839312,-0.00726917,-0.00699475,0.331289,-0.34333,9.76346,-0.0471761,-0.0871696,0.0752167,0,0,0,0,0
0.161526,1.72245e+09,0,0,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00521124,0.00650301,0.140348,0.00833572,-0.00698377,-0.00730868,0.321903,-0.25934,9.75092,-0.0469611,-0.0874272,0.0752893,0,0,0,0,0
0.171492,1.72245e+09,0,0,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522084,0.00648332,0.140275,0.00883286,-0.00706008,-0.00737834,0.321903,-0.25934,9.75092,-0.0470888,-0.087397,0.0753992,0,0,0,0,0
0.181554,1.72245e+09,0,0,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522571,0.00642639,0.140276,0.0088863,-0.0072607,-0.0071792,0.294032,-0.374653,9.76685,-0.0472315,-0.0874512,0.0754434,0,0,0,0,0
0.191481,1.72245e+09,0,0,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00518214,0.00648153,0.140269,0.0088863,-0.0072607,-0.0071792,0.294032,-0.374653,9.76685,-0.0474496,-0.0874245,0.0753386,0,0,0,0,0
0.201543,1.72245e+09,0,0,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00521479,0.00644903,0.140342,0.00900051,-0.00734707,-0.00713207,0.298312,-0.296714,9.75089,-0.0470404,-0.0874687,0.0752128,0,0,0,0,0
0.211502,1.72245e+09,0,0,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00520281,0.00645212,0.140269,0.00874787,-0.00742806,-0.00743112,0.298312,-0.296714,9.75089,-0.0472767,-0.0873679,0.0752899,0,0,0,0,0
0.221482,1.72245e+09,0,0,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00521191,0.00644666,0.140266,0.00914272,-0.00724826,-0.00716585,0.302639,-0.328139,9.81832,-0.0469889,-0.0874738,0.0753772,0,0,0,0,0
0.231523,1.72245e+09,0,0,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522176,0.0064563,0.140275,0.00905806,-0.00704665,-0.00727058,0.302639,-0.328139,9.81832,-0.0473511,-0.0872608,0.075488,0,0,0,0,0
0.241527,1.72245e+09,0,0,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00521159,0.00649697,0.140284,0.0092172,-0.00734339,-0.00756099,0.291508,-0.312068,9.76321,-0.0475542,-0.0872229,0.0752635,0,0,0,0,0
0.251512,1.72245e+09,0,0,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00520064,0.00651056,0.140232,0.00927564,-0.00752125,-0.0073662,0.291508,-0.312068,9.76321,-0.0464212,-0.0877609,0.0750752,0,0,0,0,0
0.261503,1.72245e+09,0,0,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522524,0.00649907,0.140242,0.00927564,-0.00752125,-0.0073662,0.311416,-0.319465,9.77828,-0.0476049,-0.0869852,0.0754791,0,0,0,0,0
0.271509,1.72245e+09,0,0,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00515915,0.00645574,0.140268,0.00930796,-0.00765089,-0.00745843,0.311416,-0.319465,9.77828,-0.0471269,-0.0873848,0.0754646,0,0,0,0,0
0.281547,1.72245e+09,0,0,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052188,0.00653415,0.140233,0.00924784,-0.00771522,-0.00753298,0.289798,-0.310132,9.78281,-0.0470514,-0.0874595,0.0748763,0,0,0,0,0
5.30022,1.72245e+09,2,0,0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00827924,0.0084429,0.148752,0.0204355,-0.0105441,0.00886859,0.0918275,-0.947597,10.4968,-0.0680661,-0.165739,0.0860777,0.29667,16.301,0,0,0
5.30064,1.72245e+09,2,1,0,67,1,0,0,0.0052092,0.006465,0.143021,0,0,0,0,0,0,0.0288749,0.0762386,0.0754484,-0.00827924,0.0084429,0.148752,0.0204355,-0.0105441,0.00886859,0.0918275,-0.947597,10.4968,-0.0680661,-0.165739,0.0860777,0.444996,16.301,0,0,0
