time,ros_time,fsm_state,solve_controller,is_landed,is_armed,takeoff_land_trigger,is_waiting_for_cmd,use_preview,ref_x,ref_y,ref_z,ref_u,ref_v,ref_w,ref_ax,ref_ay,ref_az,ref_phi,ref_theta,ref_psi,x,y,z,u,v,w,ax,ay,az,phi,theta,psi,throttle,battery_voltage,accel_disturbance_x,accel_disturbance_y,accel_disturbance_z
0,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248856,0.0355568,0.141195,-0.00128714,-0.0226046,-0.0102556,0.0580617,0.0170797,9.78919,0.00333988,-0.0949468,0.0659229,0,0,0,0,0
0.000697534,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248856,0.0355568,0.141195,-0.00128714,-0.0226046,-0.0102556,0.0580617,0.0170797,9.78919,0.00333988,-0.0949468,0.0659229,0,0,0,0,0
0.0108498,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0247942,0.0355383,0.141261,-0.00128714,-0.0226046,-0.0102556,0.0580617,0.0170797,9.78919,0.00346148,-0.0950107,0.065912,0,0,0,0,0
0.0208846,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248321,0.035469,0.14123,-0.00136175,-0.0223753,-0.0107278,0.0104661,0.0457809,9.76987,0.00346347,-0.0950519,0.0658859,0,0,0,0,0
0.0308806,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024902,0.0355826,0.141209,-0.00133705,-0.0224302,-0.0107549,0.0125148,0.0453395,9.80751,0.00347289,-0.0950518,0.0659104,0,0,0,0,0
0.0408396,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248921,0.0355017,0.141209,-0.00133705,-0.0224302,-0.0107549,0.0125148,0.0453395,9.80751,0.00328813,-0.0949842,0.0658599,0,0,0,0,0
0.0508264,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248906,0.0354615,0.141209,-0.0014028,-0.0223269,-0.0105934,0.0125148,0.0453395,9.80751,0.00344275,-0.0951169,0.0658581,0,0,0,0,0
0.060888,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248956,0.0355582,0.141204,-0.00149727,-0.0222138,-0.0101894,0.0119712,0.0257915,9.81017,0.00347137,-0.0948422,0.0659125,0,0,0,0,0
0.0708726,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249127,0.0355381,0.141225,-0.00143568,-0.021835,-0.00987091,0.0368496,0.0241298,9.79209,0.00333633,-0.0950152,0.0658378,0,0,0,0,0
0.0808496,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248944,0.0355151,0.141205,-0.00153733,-0.0216258,-0.00964311,0.0368496,0.0241298,9.79209,0.00352074,-0.0950383,0.0658774,0,0,0,0,0
0.0908393,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248351,0.0356024,0.141195,-0.00166714,-0.0216579,-0.00936348,0.0368496,0.0241298,9.79209,0.00325852,-0.0949317,0.0658419,0,0,0,0,0
0.100845,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248427,0.0355135,0.14121,-0.00166714,-0.0216579,-0.00936348,0.0308331,0.0537722,9.82284,0.0033853,-0.0949668,0.0658429,0,0,0,0,0
0.110877,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248534,0.0354579,0.141207,-0.00148155,-0.02164,-0.00954862,0.0492389,0.0229994,9.77886,0.00371024,-0.0949746,0.0658775,0,0,0,0,0
0.12084,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248901,0.0355918,0.141155,-0.00124996,-0.0218573,-0.00973765,0.0492389,0.0229994,9.77886,0.00344139,-0.0950003,0.0658604,0,0,0,0,0
0.13088,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249148,0.0355583,0.141163,-0.00117358,-0.0219286,-0.0097287,0.0452198,0.0341582,9.79189,0.00326341,-0.094927,0.0658591,0,0,0,0,0
0.140827,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249117,0.0354897,0.141175,-0.000893244,-0.0220925,-0.00963776,0.0452198,0.0341582,9.79189,0.00342814,-0.0949937,0.0658858,0,0,0,0,0
0.150818,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249396,0.0355097,0.141192,-0.000715802,-0.0219061,-0.009417,0.0452198,0.0341582,9.79189,0.00338684,-0.0949045,0.0658905,0,0,0,0,0
