time,ros_time,fsm_state,solve_controller,is_landed,is_armed,takeoff_land_trigger,is_waiting_for_cmd,use_preview,ref_x,ref_y,ref_z,ref_u,ref_v,ref_w,ref_ax,ref_ay,ref_az,ref_phi,ref_theta,ref_psi,x,y,z,u,v,w,ax,ay,az,phi,theta,psi,throttle,battery_voltage,accel_disturbance_x,accel_disturbance_y,accel_disturbance_z
0,1.72356e+09,0,0,1,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00207244,-0.00751709,0.137025,-0.00106098,0.00064118,0.00973207,0.433408,0.74629,9.73785,0.0623204,-0.124996,0.0280773,0,16.695,0,0,0
0.000474996,1.72356e+09,0,0,1,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00207244,-0.00751709,0.137025,-0.00106098,0.00064118,0.00973207,0.433408,0.74629,9.73785,0.0623204,-0.124996,0.0280773,0,16.695,0,0,0
0.0107138,1.72356e+09,0,0,1,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00206691,-0.00754217,0.137005,-0.000846524,0.000557926,0.0121662,0.433408,0.74629,9.73785,0.0624293,-0.12502,0.0280374,0,16.695,0,0,0
0.0206494,1.72356e+09,0,0,1,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00206989,-0.00757592,0.136997,-0.000846524,0.000557926,0.0121662,0.437757,0.741929,9.74237,0.0625505,-0.124881,0.0280638,0,16.695,0,0,0
0.0306623,1.72356e+09,0,0,1,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00204171,-0.00758741,0.136983,-0.000863437,0.000467071,0.0144384,0.437757,0.741929,9.74237,0.0624072,-0.125024,0.0280467,0,16.695,0,0,0
0.0406593,1.72356e+09,0,0,1,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00202624,-0.00762646,0.136983,-0.000681533,0.000187093,0.0174701,0.486205,0.692357,9.76812,0.0627076,-0.124957,0.0280141,0,16.695,0,0,0
0.0506395,1.72356e+09,0,0,1,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201715,-0.00758357,0.137015,-0.000553423,0.000215133,0.0204591,0.486205,0.692357,9.76812,0.0624179,-0.124825,0.0281089,0,16.695,0,0,0
0.0606916,1.72356e+09,0,0,1,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00200989,-0.00759646,0.137045,-0.000428346,-1.63959e-05,0.023567,0.464327,0.69922,9.76742,0.06276,-0.125122,0.0280327,0,16.695,0,0,0
0.0706276,1.72356e+09,0,0,1,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201925,-0.00757657,0.137049,-0.000188656,0.000181491,0.0265016,0.464327,0.69922,9.76742,0.0625629,-0.124862,0.0281352,0,16.695,0,0,0
0.0806661,1.72356e+09,0,0,1,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00205213,-0.00756944,0.137023,-3.69413e-05,0.000339459,0.0299102,0.476124,0.749292,9.80671,0.0625589,-0.125074,0.0279723,0,16.695,0,0,0
